origin,Travel Mangroove Forests,Apartemen Taman Melati,Waduk Setia Budi Timur,Aqua Fun,Jalan Pantai Karnaval Ancol,Key Park ( butterfly and rabbits),National Monument,Komodo Indonesian Fauna Museum and Reptile Park,Antara Gallery of Photo Journalism,Museum Of M. H. Thamrin,Taman Bmw,Museum Kehutanan Manggala Wanabakti,Allianz Eco Park,Al-Bina Mosque,Pancasila Sakti Monument,Taman Dadap Merah,Satriamandala Museum,Formulation of Proclamation Text Museum,Tugu Kunstkring Paleis,Irian Jaya Liberation Monument,National History Museum,Bentara Budaya Jakarta,Grand General Dr. A. H. Nasution Memorial Museum,Mausoleum OG Khouw,Taman Langsat,Proclamation of Independence Monument,Port of Tanjung Priok,National Museum,Museum Bank Indonesia,Taman Kodok Menteng,Palm Bay Water Park,CX WATER PARK,Tabebuya Park,Theater Garuda Taman Bhinneka Tunggal Ika,Jalan Jaksa,Musholla Pasar Malam CNI,Trans Snow World Juanda,Tribeca Park,Taman Maju Bersama,Taman Impian Jaya Ancol,Sea World Ancol,Sion Church,Situ Pamulang,Cibubur Park,Museum Perangko Indonesia,Ruang Pameran Mobil Antik Museum Joang 45,Taman Prasasti Museum,Museum Layang-layang Indonesia,Merdeka Square Jakarta,SS Waterpark TMII,Srengseng City Forest,Putri Duyung Waterpark,Pondok Indah Water Park,Ancol Beach Pool,Bridge of Love Taruma Jaya,Museum of East Timor,Art:1 New Museum,Taman Burung TMII,Taman Spatodhea,Basoeki Abdullah Museum,Museum Telekomunikasi,Universitas Indonesia - Danau Kenanga,East Java Pavilion,Taman Lapangan Banteng,Waterbom Pantai Indah Kapuk,Museum Kebangkitan Nasional,Museum Polri,Taman Ayodya,Waduk Pluit,Children Zoo,Taman Dukuh,Taman Wisata Alam Mangrove Angke Kapuk,Schmutzer Primate Center,Benteng Heritage Museum,Taman Menteng,Onrust Island,Muara Angke Wildlife Refuge,Church of Maria Bunda Karmel,Masjid Agung At Tin,Ants sculpture JGC,Museum Olahraga TMII,Taman Rusa Kemang Pratama,Parks Agro Tourism Cilangkap,Taman Pandang Istana,Sangga Buana,Kastil Batavia,Atlantis Water Adventure,Tugu Tani,Taman Buaya Tanjung Pasir,Pasar Seni,Nurul Iman Mosque Blok M Square,GREEN LAKE VIEW WATERPARK,Taman Suropati,Yerushalayim Bible Artefacts Museum,Hutan Kota Patriot Bina Bangsa Kota Bekasi,GO! Splash waterpark,Taman O,Kosan Muslimah Taman Cempaka,Museum of Fine Art and Ceramics,Museum of Textile,Waterpark Transera,Ragunan Zoo,Hutan Kota GBK,Setu Asih Pulo,Salihara Arts Center,Monas Dancing Fountain,Monumen Patung Dirgantara,Central Java Pavilion,Museum Sumpah Pemuda,Taman Potret,Setu Pedongkelan,Ocean Dream Samudra - Ancol,COMO Park,Eldorado Waterpark Legenda Wisata,Situ Gede Tangerang,Taman Swakarsa,Taman Gajah Tunggal,Taman Wisata Pasir Putih,Taman Mini Indonesia Indah,Taman Tangkuban Perahu,SnowBay Waterpark TMII,Dharma Bhakti Temple,Merdeka Palace,Venetian Water Carnaval,Taman Pemuda Pratama,skyrink Jakarta - Mall Taman Anggrek,Wayang Museum,Pondok Zidane,Sirkus Indoor Waterpark,Pelabuhan Perikanan Samudera Nizam Zachman,Taman Lembah Gurame,Taman Gunung Balong,Jakarta History Museum,Dunia Serangga,Pulau Bidadari,Kampung Main Cipulir,Curug Parigi,Sasmita Loka Ahmad Yani Museum,Taman Waduk Pluit,Taman Kota "Cattleya",Jakarta Planetarium,Masjid Al-Bakrie Taman Rasuna Jakarta,IMAGISPACE,Kidzania Jakarta,Setu Babakan,Taman Ria Atmaja,Playparq Kemang,Arina WaterPark,Museum Reksa Artha,Bartele Gallery,Taman Sepat,GONDOLA ANCOL STASIUN C,Dinosaur Adventure,Aditya Jaya Temple,Museum Pusaka,Danau Hutan Kota Kemayoran,Bayt Al Quran dan Museum Istiqlal,Taman Budaya Tionghoa,Danau Sunter Barat,Museum Keprajuritan Indonesia,Planetarium skyworld tmii,HUTAN KOTA WADUK CINCIN,Pasar Barang Antik,Indonesia Museum,Purna Bhakti Pertiwi Museum,Galeria Sophilia,Depok Fantasi Waterpark - Aladdin,JPG MTB PARK (MTB MEETING POINT) Jalur Pipa Gas MTB Community,Pesona Aquarium Kebagusan,Jakarta Cathedral,Taman Situ Lembang,Museum MACAN (Modern and Contemporary Art in Nusantara),Mangrove Ecotourism Centre PIK,Jakarta Bahari Museum,Pura Agung Tirta Bhuana Bekasi,National Gallery of Indonesia,Dunia Fantasi,Museum Listrik & Energi Baru TMII,Akili Museum of Art,Sarmiento Parakantja Timber,Jalan Gedung Kesenian,Taman Puring Market,Nofri kasur,Marunda Beach,Museum Transportasi,Pusat Peragaan Iptek - Kemenristekdikti,Kandank Jurank Doank,Taman Elektrik,Taman Ismail Marzuki,Dia.lo.gue,Boen Tek Bio Chinese Temple,Air Mancur Waduk Grogol,Istiqlal Mosque,Trans Studio Theme Park Cibubur,Taman Herbal Insani,UI Park,Museum Mandiri,Akses Hutan Lindung Angke Kapuk,Selamat Datang Monument,Jakarta,Pusat Kebudayaan Belanda Erasmus Huis,Museum Tragedi 12 Mei 1998 Universitas Trisakti
Nurul Iman Mosque Blok M Square,37029,22144,9687,23162,24487,32445,10476,19290,12415,11910,26522,6761,22250,4555,18412,14671,5103,9523,10098,11906,1272419,6002,9043,7394,2004,11477,30210,9624,16855,9846,25215,18897,11263,18307,9943,17032,28618,10212,19663,20628,23136,19315,17020,26225,18946,10846,10695,9464,9911,18478,9665,24303,3415,23620,46946,3091794,22950,20402,13144,7933,17276,21264,779855,11909,20636,11403,1361,1474,18306,9521,15915,23180,11227,34068,8303,32951,21636,14215,16075,34064,17131,25994,22914,12131,1593069,19185,22757,10229,40368,1627214,0,31997,8907,25067,25144,39301,20142,20656,17834,8675,36105,9384,3711,21618,10348,9936,5680,18782,12555,31965,21664,22931,5649,35631,33676,19432,32196,24325,16295,9118,17172,13605,1715686,31924,16371,10505,17157,25738,23181,21106,19270,9587,17124,19308,32951,5886,28355,9152,18731,9100,10137,7940,3024,3268,17665,18817,4501,23976,7874,7550,11983,23030,19158,17754,19282,25814,16391,19145,21755,19259,17332,26313,10026,17157,16454,14770,25462,22900,9812,12888,9626,14100,19802,18638,20695,12596,21493,18910,15864,1138108,12451,2399,-1,41464,18806,18988,17150,31868,10476,4902,33997,14131,11827,25006,30303,21491,16806,25307,7601,11347,4363,11103
GREEN LAKE VIEW WATERPARK,62825,8342,33654,41939,43263,54996,36456,21935,36134,32010,37393,32568,42519,33202,21065,14488,28583,33425,34135,35058,1285057,33401,33280,33201,33855,31540,42849,35604,42652,33941,47301,11148,14724,20953,35923,42829,38090,36009,13763,42585,42215,45567,34588,6387,21592,34577,36675,27044,35891,21124,39257,18489,30212,42397,56200,3101142,38899,20367,14198,25513,19921,11200,789204,35061,46433,33964,32683,34302,44102,23418,18678,48977,17424,56620,34283,58748,47432,40011,18720,43318,19776,29817,13889,36404,1602418,44981,42414,34053,66165,1639852,33820,0,34887,37705,34616,48772,7400,20621,43630,34482,45360,15416,32725,15804,25719,35916,25520,21427,32655,54517,7370,41708,24931,20066,56228,29979,54748,16411,18940,31215,19817,42744,1725035,41395,10316,36301,42953,17824,23147,46902,10487,27167,42921,21954,58748,36783,21664,32904,44528,34896,33999,29369,32578,30507,12477,21463,26170,24924,25454,33530,21653,42110,21803,30392,21927,37547,19036,21790,34394,21904,19984,38157,33154,19803,19099,36256,8057,46124,23710,35351,33269,39897,45599,44435,31620,35626,43050,21555,41660,1147457,35523,33968,-1,50718,21452,21633,40375,53954,34338,25269,56549,39928,35473,9441,23358,11427,42603,51104,33581,32188,27833,36900
Taman Suropati,37459,23664,1573,11566,13005,32874,2777,22285,4627,3002,10988,7191,10350,7825,21407,21937,7063,324,1698,4045,1262155,8024,643,7824,8300,2405,19947,3632,8245,803,25645,23642,18528,21302,3306,17462,31613,10642,23908,9127,11843,9997,24285,29220,21941,3541,4811,16729,4604,21473,12167,31569,12187,12025,30399,3094788,7971,21410,20410,15198,20271,22784,782850,4048,21066,4097,7127,8746,18735,13386,20334,23610,14770,34498,612,33381,22066,14644,19070,19897,20126,28989,27159,4270,1596063,9661,10710,2107,40798,1616950,8264,34992,0,14803,28139,42295,28098,24901,9224,4996,21246,13249,7170,28884,11537,4629,7112,21776,3647,32395,28797,11335,9738,38626,34106,22427,32626,31590,19290,977,20167,7721,1718680,34919,23636,10934,8547,33003,27427,21535,26536,16852,8514,22303,33381,11899,34571,855,19161,9529,1737,2605,10408,4952,23276,21812,8498,31242,15139,1367,15836,11737,22153,7500,22276,10764,19385,22139,9979,22253,20327,12449,988,20152,19449,6982,40997,28913,13677,5100,582,14530,20232,19068,25360,4735,9592,21905,16293,1141102,4662,8412,-1,24917,21801,21983,23164,32298,2076,10240,34427,14561,3966,28000,37569,23011,8196,25737,1609,3206,5480,11533
Yerushalayim Bible Artefacts Museum,37009,35891,14417,9573,10898,45912,11556,23476,11977,11754,10782,25118,10154,25751,22598,31315,21132,13169,11864,10750,1252707,25951,13711,24009,26405,11284,10498,13996,12813,13684,29242,24833,35357,22493,13302,29999,32911,20900,25099,10219,9850,13202,41139,30411,23132,11325,12989,33594,12782,22664,26919,48398,32362,10031,16781,3096086,13165,22601,31100,32063,21462,35010,784148,10753,20617,9922,25232,26851,15110,29969,21525,23161,31780,37929,13494,32931,21616,25011,20261,14399,21317,30287,28350,12448,1597361,14549,10048,10800,40348,1607502,26369,36183,13189,0,29437,23384,29289,26092,14769,15918,19910,29851,25275,45713,23502,12807,18069,22967,12399,45432,29988,9342,24472,39817,38986,20334,45663,49092,20481,13446,21358,14957,1719978,36216,41328,21192,14630,50505,28618,17582,43168,33718,14678,23494,32931,30686,33792,13700,16355,27445,11871,13755,30583,23057,35503,23003,23232,48096,32005,14211,28204,9744,23344,9907,23467,9235,20576,23330,6907,23444,21518,5975,12898,21343,20640,9562,42188,52026,30260,11194,13013,24897,19782,14002,26658,11318,10684,23096,32135,1142400,11366,26517,-1,11299,22992,23174,46276,36031,12210,24981,38013,17491,11316,29191,54423,35238,12764,25288,14453,11931,20382,21773
Hutan Kota Patriot Bina Bangsa Kota Bekasi,58818,35434,29646,32449,33774,54233,32449,24100,32118,27994,33658,28561,33030,29194,18081,30857,24575,28699,30327,31042,1270031,29394,29272,29193,29848,27524,27823,31597,38644,31818,47003,23761,34900,23117,31915,38821,4617,32001,21831,33095,32726,36078,40682,30132,23757,30561,32667,33137,31883,23288,33536,47940,35805,32908,22652,3073487,36041,19622,30642,31606,22063,34553,761549,31045,42425,23367,28675,30294,40094,29511,25047,44969,31322,55857,30275,54740,43425,36003,23902,12774,21918,5722,24412,34103,1574762,37425,32925,30037,62157,1624826,29812,35904,30880,22676,0,16576,28831,22099,37645,30474,10816,29394,28718,45255,31813,31908,21512,23591,28639,53754,29530,32218,31024,26013,55465,9337,53985,47962,21807,27207,21982,38736,1697379,8166,41049,32293,38946,49375,14945,42894,42889,33260,38913,24118,54740,34129,15530,28896,40520,30888,30367,25361,34026,26500,35045,23627,26675,47638,31547,29522,27747,32620,23968,17579,24091,35038,24217,23955,30378,24069,22556,27204,29138,21967,21264,32240,41909,52218,29803,31335,29253,35889,41591,36878,5562,31610,33560,23720,37652,1119801,31507,29960,-1,24788,23617,23798,46469,53657,30705,31363,55786,35920,31457,28912,53966,34780,38595,47096,29573,28172,23825,32892
GO! Splash waterpark,62015,49930,33712,34579,35904,68986,30857,38597,31277,31049,27573,43314,35160,43947,32834,45354,39328,32464,31165,30050,1269278,44147,32102,43946,44601,30578,27070,33297,37819,32979,54248,38257,49396,37614,32603,53574,13856,46754,36327,35225,34856,38208,55179,44628,38253,30625,32290,47634,32082,37785,48289,62437,50802,35038,13212,3082654,32132,34118,45139,46103,36560,49050,770716,30053,45623,29222,43428,45047,40116,44008,39544,48167,45819,70610,32788,57938,46622,50756,39399,16172,36415,18874,38909,31749,1583930,39555,35055,30101,65355,1624073,44565,50400,32484,24804,14968,0,43328,36595,39775,45227,11357,43890,43471,59752,46309,32108,36265,38088,31694,68507,44027,34348,45521,39165,70218,24814,68738,62459,36303,32741,36478,39963,1706547,9592,55545,47046,39636,63872,29442,42588,57386,47757,39684,38615,57938,48882,28681,32995,41361,45641,31172,40114,48779,41252,49542,38124,46761,62135,46044,44275,42243,34750,38465,26149,38588,37168,39715,38451,27580,38565,37052,26451,32193,36464,35760,29442,56405,66715,44300,30494,32307,50642,44789,39008,22705,30618,35690,38216,52405,1128969,30667,44713,-1,15841,38113,38295,60965,61037,31510,45859,70539,42497,30617,43409,68462,49277,37770,50294,44326,31226,38578,47645
Taman O,51193,9929,26664,34948,36273,43910,29466,11960,29144,25020,30403,25578,35529,26212,13063,12069,21592,26435,27145,28067,1278067,26411,26289,26211,22281,24550,35859,28614,35661,26950,36215,5133,17720,10977,28932,29913,31067,29018,6566,35595,35225,38577,23503,5868,11617,27587,29685,15958,28901,11148,28171,20896,19126,35407,49178,3094120,31909,10758,11778,14427,9923,8781,782182,28070,40063,26974,21288,19384,37112,12332,7999,38073,14143,45534,27292,47115,41518,33021,10718,36295,9778,22794,5274,29414,1595395,37991,35424,27063,54532,1632862,19475,8898,27897,30715,27593,41749,0,7503,36640,27492,38337,12214,25735,18211,14633,28926,18530,11451,25665,43431,5332,34717,13845,17450,45142,26706,43662,18817,9667,24225,9842,35753,1718012,34373,14127,29311,35963,20230,16124,39912,12893,16081,35930,11978,47115,25697,19048,25913,37538,27906,27009,22378,21492,23517,10219,11487,15085,30459,14368,26539,10567,35119,11828,23402,11952,30556,11034,11815,27403,11929,10416,31167,26164,9827,9124,29266,14903,35039,12624,28360,26279,32907,40671,37444,24597,28635,36059,11580,35120,1140434,28533,22625,-1,43696,11477,11658,29289,42868,27347,14183,45463,32937,28483,6825,36786,9008,35612,40200,26590,25197,20843,29909
Kosan Muslimah Taman Cempaka,52784,19845,24248,32533,33857,45501,27051,7803,26728,22604,27987,23163,33113,23796,7144,15269,19177,24019,24729,25652,1275652,23996,23874,23795,23872,22134,33443,26198,33246,24535,37806,5677,19312,6821,26517,31504,24157,26603,2287,33179,32810,36161,25094,14543,7460,25171,27269,17549,26485,6991,29762,32352,20717,32991,42268,3087210,29493,4943,15054,16018,5766,18965,775272,25655,41655,24558,23277,20975,34696,13923,9459,39664,15734,47125,24877,48706,38027,30605,9314,29386,5621,15884,2814,26998,1588485,35575,33008,24647,56123,1630447,21066,20315,25482,28299,20683,34839,6802,0,34224,25076,31427,13806,23320,29667,16225,26510,16114,7294,23249,45022,9021,32302,15436,23950,46733,19796,45253,32374,5510,21809,5685,33338,1711102,27463,25461,26895,33547,33787,9214,37496,27301,17672,33515,7821,48706,27289,14388,23498,35122,25490,24594,19963,23083,21101,19457,7331,16676,32050,15959,24124,12159,32704,7671,20986,7795,28141,9630,7658,24988,7772,6259,28751,23748,5671,4967,26850,26321,36630,14215,25945,23863,30491,36193,35029,17687,26220,33644,7423,32254,1133524,26118,24562,-1,36786,7320,7501,30880,44459,24932,15774,47054,30522,26067,13324,38377,19192,33197,41791,24175,22782,18427,27494
Museum of Fine Art and Ceramics,27049,34709,9453,5904,7229,31922,5497,33277,5949,10982,7113,12319,4993,15100,32399,41116,17259,9301,8589,6296,1255273,13145,8809,11702,14697,11725,13064,6453,1067,9624,19282,34634,24926,32294,7146,20038,41087,9581,34900,3371,5879,1737,39436,40212,32933,8050,6107,23127,5238,32465,15600,37966,19556,6363,26437,3104262,4972,32402,26807,21596,31263,33828,792324,6539,10656,8606,13525,15144,4963,23184,31326,13200,24890,27969,8069,22971,9649,13692,30062,24162,31118,38463,38151,4905,1605538,2483,5500,7432,30388,1610068,14662,45984,8685,12812,37613,33040,39090,35893,0,9036,35753,23047,13567,35281,23736,5264,18156,32768,11627,31443,39789,5674,20762,49618,29026,30135,31674,37988,30282,9915,31158,3247,1728155,44393,30034,9873,1369,39401,40887,7435,32933,23250,1336,33295,22971,17880,45812,9793,6208,13470,8596,13386,17777,11349,34321,32804,19522,49949,21537,7653,38005,5773,33145,19708,33268,8494,30377,33131,8849,33245,31319,9056,9804,31144,30441,6100,51989,42065,23475,6422,9404,13578,9822,3855,34150,7225,4235,32897,13260,1150577,5984,14809,-1,20955,32793,32975,36316,26071,8935,21271,28053,6172,6544,38992,52720,34055,1018,15327,7473,12373,16469,8543
Museum of Textile,35338,26560,4861,11830,13269,27590,3244,23610,4890,7797,11252,4177,10613,6951,22733,31449,9109,5108,4593,5113,1261326,5002,4217,2300,9303,6903,19117,2697,6605,5020,20360,24968,20052,22628,3150,12178,32939,5283,25234,9391,12107,9065,21761,30545,23267,4053,2744,18253,2679,22799,11268,33092,11413,12288,31105,3096114,8234,22736,21933,16722,21596,25680,784175,5116,17577,4610,8650,9445,15246,18310,21659,20120,20016,29214,3477,31260,18576,9360,20395,38384,21451,30314,28485,4507,1597389,8021,10974,3436,38677,1616121,9787,36317,4082,15509,29464,43621,29423,26227,7583,0,24118,18173,7655,30407,14410,2704,10008,23102,5280,27111,30122,11599,12611,39951,28822,23753,27342,33114,20615,4544,21492,6081,1720006,36244,25160,5575,6906,34527,28752,18046,28059,18376,6874,23629,31260,9737,35896,4578,15672,6046,4600,7282,9635,6475,26172,23138,11372,28717,16663,2724,28339,12001,23478,12096,23602,11028,20711,23465,10242,23579,21652,12713,5913,21478,20774,7246,42323,33805,18601,5363,5912,9246,16742,9393,26686,5803,9856,23230,11009,1142428,4926,9142,-1,25623,23127,23308,28056,27013,4939,13120,29143,7035,5034,29326,35044,25907,6556,22247,2775,6773,8318,5600
Waterpark Transera,54102,42017,25798,26666,27991,61073,22943,30684,23364,23136,27875,35400,27247,36034,24920,37441,31415,24550,23252,22137,1264248,36233,24189,36033,36687,22665,22039,25384,29905,25066,46335,30344,41483,29701,24690,45661,14042,38841,28414,27312,26943,30295,47265,36715,30340,22712,24377,39720,24169,29872,40376,54524,42889,27124,15725,3086892,24219,26205,37226,38189,28646,41136,774954,22140,37710,21309,35515,37134,32203,36095,31630,40254,37906,62697,24875,50024,38709,42843,31486,8259,28501,15319,30996,23835,1588167,31641,27141,22188,57441,1619043,36652,42487,24571,16891,11746,16415,35415,28682,31862,37314,0,35977,35557,51839,38396,24194,28352,30175,23781,60593,36114,26435,37608,46121,62305,16900,60825,54545,28390,24828,28565,32050,1710784,13110,47632,39133,31723,55958,21528,34675,49473,39844,31771,30702,50024,40968,26454,25081,33448,37728,23259,32201,40866,33339,41629,30211,38847,54222,38131,36362,34330,26837,30552,18236,30675,29255,31802,30538,19667,30652,29139,21420,24280,28551,27847,21529,48492,58801,36386,22581,24394,42729,36875,31095,14792,22705,27777,30303,44492,1133206,22754,36800,-1,12443,30200,30381,53052,53124,23597,37946,62626,34584,22704,35496,60549,41364,29856,42381,36413,23313,30665,39731
Ragunan Zoo,42890,10869,15490,36585,37910,35608,16640,13609,18489,26657,32040,14408,29886,15044,15711,1464,10413,14542,16171,17907,1279704,17809,15115,15041,13978,15094,37495,17446,24491,15482,27912,13477,3459,12626,16703,21610,32704,17848,14242,28264,36862,26951,15200,19736,13265,16848,18517,6382,17733,12797,19869,22454,10823,37043,50814,3095756,33545,14981,1248,6123,11572,9989,783818,17910,31761,17405,10805,11080,25942,4024,10495,29770,3594,37231,14749,38812,33215,24611,13367,37932,11427,24431,17493,18133,1597032,26821,37060,16579,46229,1634499,11171,25508,14543,32351,29230,43386,13648,15235,25470,16322,39974,0,13155,19769,5045,17758,9539,13100,27302,35128,10389,36354,5543,29142,36839,28343,35359,17780,11316,14861,11490,21427,1719649,36009,8596,18141,24793,19193,17761,28742,11033,7777,24760,13627,38812,17395,22935,14739,26367,16736,16210,13246,13189,12349,6130,13136,6783,22156,6064,14531,1299,36756,13477,25039,13600,32193,13682,13463,29040,13577,12064,32804,16060,11476,10772,30903,15872,26736,429,18962,15730,22220,32369,26274,26234,18597,29129,13229,26817,1142071,18525,14322,-1,45332,13125,13307,20987,34565,16548,5881,37160,21767,17829,18516,28484,10216,24442,31897,15422,14964,9673,18739
Hutan Kota GBK,33318,22124,5976,19451,20775,28733,6765,19175,8704,8199,22811,3050,18539,3684,18297,19031,4666,5812,6387,8194,1268819,3883,5331,3683,5394,7765,26611,5913,13144,6135,21503,20532,15623,18192,6232,13321,28503,6501,20798,16917,19425,15604,20641,26109,18831,7135,6984,13824,6200,18363,8026,28663,10294,19909,46831,3091678,19239,18300,17504,12293,17160,21244,779740,8197,16925,7692,4221,5841,14594,13881,17224,19469,15587,30357,4592,29240,17925,10503,15960,33949,17015,25879,24049,8420,1592953,15474,19046,6518,36657,1623614,5358,31882,5196,26259,25029,39185,24988,21791,14122,4964,35990,13744,0,25978,9968,6225,5572,18666,8844,28254,25687,19220,8169,35516,29965,19317,28485,28685,16179,5406,17056,9894,1715570,31809,20731,6793,13445,30098,24317,17394,23630,13947,13413,19193,29240,8618,31461,5441,15020,5388,6426,6696,8516,2046,21736,18702,6929,27598,12234,3839,23903,19319,19043,17638,19166,22103,16275,19029,21640,19143,17217,22602,6315,17042,16338,11059,37887,34948,14172,9177,5914,10389,16091,14927,20580,8884,17781,18794,12152,1137992,8739,5506,-1,41349,18691,18873,29199,28157,6764,8678,30286,10420,8116,24890,33925,21471,13095,21596,3889,7636,3875,7392
Setu Asih Pulo,53947,10686,30351,52731,54055,46578,31140,28718,33079,42888,48271,27425,53311,25219,31942,16918,25166,29214,30762,32569,1295935,28780,29706,28058,23225,42332,53641,30288,39244,30424,38969,20183,12529,27735,30521,32667,48967,39642,30420,53377,53093,56445,16500,19994,28374,31510,31359,13927,30489,27991,30925,5258,21880,53189,67078,3111934,49691,31159,14509,17071,26681,13544,800082,32572,42817,44842,22025,22695,48038,15847,25689,40827,15002,48287,28966,49869,44272,35581,29598,54196,26621,40694,24767,32709,1613295,41574,53292,30808,57286,1650730,22653,15388,29571,48582,45493,59650,17682,31499,40223,29339,56237,14786,24375,0,20132,30600,24873,28294,43533,46184,14605,52500,19332,30944,47810,40771,46416,4419,26510,29781,26685,34184,1735912,52273,6895,39935,39546,5832,33939,50838,5764,15351,39513,28736,49869,28451,32541,29496,48378,31488,30801,28003,24160,23849,12397,28330,20486,15026,17012,28214,18540,52987,28671,41270,28795,48339,29828,28658,45271,28772,27259,49035,30690,26585,25967,47134,7916,26380,16434,46228,30204,33277,43339,41027,42497,33259,53842,28423,37874,1158249,33114,23445,-1,61596,28234,28501,22429,45622,31139,18688,48131,36435,32491,20233,11518,13857,39110,42868,28264,43065,24341,33407
Salihara Arts Center,43214,12619,12778,29123,30448,35932,16621,11694,18560,12930,32483,12733,28212,13367,13797,11443,8757,12017,12908,18050,1272521,13566,12403,13366,10472,11240,30313,15769,22817,12713,28236,11563,8095,10712,16088,22994,30789,16174,12328,26590,29098,25277,15524,17821,11351,16991,16840,7978,16056,10883,20193,22778,7985,29582,48900,3093842,28911,13067,7769,6447,9657,11739,781904,18053,26598,17548,9273,9943,24267,4365,8580,30094,5749,37555,14447,39137,27597,20176,11452,36018,9512,22516,15579,18276,1595117,25146,28719,13396,46554,1627316,9901,18055,11938,25169,27315,41472,11734,13321,23795,14647,38059,4228,12890,20093,0,16081,5684,11186,13575,35452,12139,28893,3084,27227,37163,19535,35683,21507,9401,11379,9576,22908,1717734,34095,14846,16466,23118,22920,15847,27067,15584,8101,23086,11713,39137,17719,21021,11579,24693,15061,12947,9532,13513,10672,12231,11222,4323,22480,6388,13695,6132,28992,11562,17856,11686,31775,11768,11549,21857,11663,10150,25621,11861,9562,8858,23720,17622,27060,4656,19033,11860,20062,25763,24599,24319,18740,27454,11314,21825,1140156,18595,10779,-1,43418,11211,11392,21311,34889,13285,3422,37485,20092,17972,16602,28808,11966,22768,32221,13745,11110,8008,17064
Monas Dancing Fountain,36461,26368,4190,10712,12152,28713,540,23419,3773,6424,10135,8325,9496,8959,22541,23071,8910,4037,3326,3191,1260208,9158,3546,4450,9434,5827,18000,1189,5695,4360,21483,24776,19662,22436,1882,13301,32747,6406,25042,8274,10989,9143,25419,30354,23075,2786,2260,17863,1476,22607,12391,32703,13321,11171,29838,3095922,7117,22544,21544,16332,21405,25488,783984,3194,15922,3343,8261,9880,9591,17920,21468,23341,19627,30337,2806,32384,16921,10483,20204,21502,21260,30123,28293,3416,1597197,7110,9857,2169,39801,1615003,9398,36126,3422,14241,29273,43429,29232,26035,6673,3490,22850,17783,8304,30018,14212,0,9816,22910,4013,28234,29931,10482,12413,39760,29945,23561,28465,32724,20424,4651,21301,5170,1719814,36053,24770,6698,5996,34137,28561,12062,27670,17986,5964,23437,32384,13033,35705,4530,10835,10663,3333,8122,11542,6086,25980,22946,11173,32376,16273,2389,28147,10883,23287,10922,23410,9910,20519,23273,9125,23387,21461,11596,4540,21286,20583,6128,42131,34928,18212,4246,4140,10369,15087,8482,24824,3881,8738,23039,12132,1142236,3808,9546,-1,24356,22935,23117,29179,23829,3671,12922,30266,7762,3112,29134,38703,25715,5646,25468,2210,6880,8120,6328
Monumen Patung Dirgantara,37450,16552,7581,23583,24908,32865,11081,13708,13019,7246,26943,7193,22671,7826,12831,15376,3217,6333,7224,9649,1266837,8026,7913,7825,6234,5556,24629,10229,17276,7029,25636,15066,15125,12726,10547,17453,23037,10633,15331,21049,23557,19736,20883,20643,13365,11451,11300,13326,10515,12897,12168,28166,9098,24041,41364,3086212,23371,12834,13954,11795,11694,15672,774273,9652,21057,9200,7307,6317,18727,9346,11757,23601,10730,34489,8907,33372,22057,14636,10493,28482,11549,20412,18583,9875,1587487,19606,23178,7712,40789,1621632,6175,26415,6254,19485,19562,33719,19521,16325,18255,9107,30524,9209,7350,25481,5580,10540,0,13200,7891,32386,16072,23352,6227,30049,34097,13851,32617,28188,10713,5695,11590,17368,1710104,26342,20234,10926,17578,29601,18850,21527,19517,13450,17545,13726,33372,12761,25994,5895,19152,9521,7263,3848,12658,5132,16164,13236,4987,27839,11736,8154,11059,23451,13576,12172,13700,26235,10809,13563,16173,13677,11750,19937,6177,11576,10872,18036,21555,39080,9637,10587,6176,14521,20223,19059,15114,10339,21914,13328,16285,1132526,13055,8592,-1,35882,13225,13406,33331,32289,7601,6766,34418,14552,9571,19424,34166,15899,17227,25728,8205,5426,2467,11524
Central Java Pavilion,51328,18389,22792,31076,32401,44045,25594,2374,25272,21148,26531,21706,31657,22340,7723,13813,17720,22563,23273,24195,1274195,22539,22417,22339,22416,20678,31987,24742,31789,23078,36350,6713,17855,1391,25060,30048,23263,25146,4782,31723,31353,34705,23637,13087,2030,23715,25813,16092,25029,1562,28306,30896,19261,31535,41373,3086315,28037,5521,13597,14561,809,17508,774377,24198,40198,23102,21820,19519,33240,12467,6869,38208,14278,45668,23420,47250,36570,29149,7858,28491,757,14990,7364,25542,1587591,34119,31552,23191,54667,1628990,19610,18859,24025,26843,19789,33945,10036,4907,32768,23620,30533,12349,21863,28211,14768,25054,14658,0,21793,43565,12486,30845,13980,22493,45277,18902,43797,30917,868,20353,1133,31881,1710208,26568,24004,25439,32091,32330,8320,36040,25845,16216,32058,2392,47250,25832,13494,22041,33666,24034,23137,18506,21627,19645,18001,36,15219,30594,14502,22667,10702,31247,193,19530,2365,26684,8174,2228,23531,2342,829,27295,22292,722,962,25394,24864,35173,12758,24488,22407,29035,34736,33572,16793,24763,32187,1993,30798,1132630,24661,23105,-1,35891,1890,2072,29424,43003,23475,14318,45598,29065,24611,11868,36921,17735,31740,40335,22718,21325,16971,26037
